Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,127.4,-50.7,270,top
C2,100nF,C_0603_1608Metric,117.8,-44.6,0,top
C11,10uF,C_0603_1608Metric,100.8,-56.8,0,top
C12,10uF,C_0603_1608Metric,102.975,-51.9,180,top
C13,10uF,C_0603_1608Metric,103,-49.7,180,top
C14,10uF,C_0603_1608Metric,103.1,-47.6,0,top
C15,22PF,C_0603_1608Metric,87.9,-56.4,0,top
C16,22pF,C_0603_1608Metric,87.9,-51.2,180,top
C17,10uF/16V,CP_EIA-3528-21_Kemet-B,84.3375,-42.2,0,top
C18,100nF,C_0603_1608Metric,89.2,-43.5,180,top
C21,22pF,C_0603_1608Metric,112.5,-50.1,0,top
C22,22PF,C_0603_1608Metric,112.525,-48.4,180,top
C23,100nF,C_0603_1608Metric,96.9,-59.8,180,top
C24,10uF/16V,CP_EIA-3528-21_Kemet-B,105.3,-59,180,top
C25,100nF,C_0603_1608Metric,82.4,-48.6,0,top
C27,100uF/16V,CP_EIA-3528-21_Kemet-B,78,-47.8,0,top
C28,100nF,C_0603_1608Metric,104.2,-55.9,180,top
C29,100nF,C_0603_1608Metric,107.5,-52.2,180,top
C30,10nF,C_0603_1608Metric,107.5,-48.4,180,top
C31,10nF,C_0603_1608Metric,107.5,-44.8,180,top
D1,AUDIO,LED_0805_2012Metric_Castellated,95.6,-62.9,90,top
D2,TX,LED_0805_2012Metric_Castellated,117.6,-62.9,270,top
J4,USB_DATA,USB_Mini-B_Lumberg_2486_01_Horizontal,80.1,-55.8,270,top
L1,100uH,L_0805_2012Metric,127.3,-54.3,270,top
L4,100uH,L_0805_2012Metric,89,-41.5,0,top
L5,100uH,L_0805_2012Metric,100.4,-59.8,0,top
L6,100uH,L_0805_2012Metric,103.7,-54,0,top
L7,100uH,L_0805_2012Metric,110.5,-60.1,0,top
L10,100uH,L_0805_2012Metric,114.4375,-58.5,0,top
R1,10k,R_0603_1608Metric,131.4,-47.2,0,top
R2,1M,R_0603_1608Metric,87.9,-49.6,0,top
R3,1k,R_0603_1608Metric,92.7,-58.5,180,top
R4,1M,R_0603_1608Metric,112.5,-52.4,180,top
R5,1.5k,R_0603_1608Metric,97.175,-45.9,0,top
R6,1k,R_0603_1608Metric,115.4,-62.9,270,top
R8,470k,R_0603_1608Metric,107.5,-54.1,180,top
R9,4.7k,R_0603_1608Metric,107.5,-55.9,0,top
R10,10k,R_0603_1608Metric,107.5,-50.3,0,top
R11,10k,R_0603_1608Metric,107.5,-46.6,180,top
R19,10k,R_0603_1608Metric,128,-60.5,180,top
SW1,SWITCH,IAMBIC_SW,123.4,-62.9,0,top
SW2,SWITCH,IAMBIC_SW,89.8,-62.4,0,top
U1,ATMEGA328P-AU-L,TQFP-32_7x7mm_P0.8mm,120.5,-53.2,270,top
U3,CM108AH,LQFP-48_7x7mm_P0.5mm,95.8,-52.4,270,top
Y1,16Mhz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,112.4,-55.4,180,top
Y4,12Mhz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,87.8,-53.8,0,top
